source_event_id,event_id,source,disaster_type,year,month,date,date_precision,latitude,longitude,coord_source,state_name,district_name,cyclone_location,wind_speed_knots,pressure_mb,storm_speed_knots,storm_direction_deg,storm_direction,duration_days,cyclone_severity,cyclone_severity_text,alert_level,alert_score,description,episode_id,event_name,glide,country,iso3,from_date,to_date,date_modified,source_name,severity_data
HIST_TC_000001,HIST_TC_000001,HISTORICAL,CYCLONE,1990,5,1990-05-01 00:00:00,month,15.8,81.0,exact,Andhra Pradesh,Krishna,On Ocean,90.0,956.0,4.0,335.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000002,HIST_TC_000002,HISTORICAL,CYCLONE,1990,12,1990-12-01 00:00:00,month,21.1,92.1,exact,Mizoram,,On Ocean,,,10.0,50.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000003,HIST_TC_000003,HISTORICAL,CYCLONE,1991,4,1991-04-01 00:00:00,month,22.0,91.6,exact,Tripura,,On Ocean,127.0,920.0,18.0,35.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000004,HIST_TC_000004,HISTORICAL,CYCLONE,1991,6,1991-06-01 00:00:00,month,22.3,91.0,exact,Tripura,,On Ocean,45.0,990.0,24.0,30.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000005,HIST_TC_000005,HISTORICAL,CYCLONE,1991,11,1991-11-01 00:00:00,month,11.1,80.2,exact,Tamil Nadu,,On Ocean,45.0,998.0,5.0,285.0,West,,,,,,,,,,,,,,,,
HIST_TC_000006,HIST_TC_000006,HISTORICAL,CYCLONE,1992,5,1992-05-01 00:00:00,month,18.5,93.6,exact,Mizoram,,On Ocean,35.0,994.0,16.0,45.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000007,HIST_TC_000007,HISTORICAL,CYCLONE,1992,6,1992-06-01 00:00:00,month,20.4,87.0,exact,Odisha,,On Ocean,,,6.0,295.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000008,HIST_TC_000008,HISTORICAL,CYCLONE,1992,7,1992-07-01 00:00:00,month,20.2,86.8,exact,Odisha,,On Ocean,,,7.0,295.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000009,HIST_TC_000009,HISTORICAL,CYCLONE,1992,9,1992-09-01 00:00:00,month,18.1,98.9,exact,Andaman and Nicobar Islands,,On Ocean,,,16.0,270.0,West,,,,,,,,,,,,,,,,
HIST_TC_000010,HIST_TC_000010,HISTORICAL,CYCLONE,1992,9,1992-09-01 00:00:00,month,12.0,77.3,exact,Karnataka,Chamarajanagara,On Ocean,,,14.0,270.0,West,,,,,,,,,,,,,,,,
HIST_TC_000011,HIST_TC_000011,HISTORICAL,CYCLONE,1992,10,1992-10-01 00:00:00,month,16.2,81.3,exact,Andhra Pradesh,,On Ocean,,,12.0,315.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000012,HIST_TC_000012,HISTORICAL,CYCLONE,1992,10,1992-10-01 00:00:00,month,21.2,92.2,exact,Mizoram,,On Ocean,35.0,997.0,8.0,65.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000013,HIST_TC_000013,HISTORICAL,CYCLONE,1992,11,1992-11-01 00:00:00,month,7.8,99.9,exact,Andaman and Nicobar Islands,,On Ocean,,,14.0,265.0,West,,,,,,,,,,,,,,,,
HIST_TC_000014,HIST_TC_000014,HISTORICAL,CYCLONE,1992,11,1992-11-01 00:00:00,month,8.4,99.9,exact,Andaman and Nicobar Islands,,On Ocean,,,15.0,285.0,West,,,,,,,,,,,,,,,,
HIST_TC_000015,HIST_TC_000015,HISTORICAL,CYCLONE,1992,12,1992-12-01 00:00:00,month,8.6,50.3,exact,Lakshadweep,,On Ocean,,,9.0,295.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000016,HIST_TC_000016,HISTORICAL,CYCLONE,1993,11,1993-11-01 00:00:00,month,8.1,77.6,exact,Tamil Nadu,,On Ocean,,,4.0,0.0,North,,,,,,,,,,,,,,,,
HIST_TC_000017,HIST_TC_000017,HISTORICAL,CYCLONE,1993,11,1993-11-01 00:00:00,month,7.8,99.6,exact,Andaman and Nicobar Islands,,On Ocean,,,11.0,275.0,West,,,,,,,,,,,,,,,,
HIST_TC_000018,HIST_TC_000018,HISTORICAL,CYCLONE,1993,12,1993-12-01 00:00:00,month,7.5,100.0,exact,Andaman and Nicobar Islands,,On Ocean,,,14.0,300.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000019,HIST_TC_000019,HISTORICAL,CYCLONE,1994,5,1994-05-01 00:00:00,month,20.7,92.1,exact,Mizoram,,On Ocean,115.0,940.0,12.0,25.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000020,HIST_TC_000020,HISTORICAL,CYCLONE,1994,6,1994-06-01 00:00:00,month,20.5,57.8,exact,Gujarat,,On Ocean,,,8.0,290.0,West,,,,,,,,,,,,,,,,
HIST_TC_000021,HIST_TC_000021,HISTORICAL,CYCLONE,1994,7,1994-07-01 00:00:00,month,19.0,99.5,exact,Mizoram,,On Ocean,,,9.0,270.0,West,,,,,,,,,,,,,,,,
HIST_TC_000022,HIST_TC_000022,HISTORICAL,CYCLONE,1994,10,1994-10-01 00:00:00,month,12.7,80.4,exact,Tamil Nadu,,On Ocean,60.0,989.0,5.0,310.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000023,HIST_TC_000023,HISTORICAL,CYCLONE,1994,11,1994-11-01 00:00:00,month,7.8,50.1,exact,Lakshadweep,,On Ocean,45.0,994.0,10.0,265.0,West,,,,,,,,,,,,,,,,
HIST_TC_000024,HIST_TC_000024,HISTORICAL,CYCLONE,1995,5,1995-05-01 00:00:00,month,12.0,79.5,exact,Tamil Nadu,Viluppuram,On Ocean,,,13.0,310.0,North_West,,,,,,,,,,,,,,,,
HIST_TC_000025,HIST_TC_000025,HISTORICAL,CYCLONE,1995,5,1995-05-01 00:00:00,month,16.9,82.5,exact,Andhra Pradesh,,On Ocean,,,10.0,0.0,North,,,,,,,,,,,,,,,,
HIST_TC_000026,HIST_TC_000026,HISTORICAL,CYCLONE,1995,5,1995-05-01 00:00:00,month,22.5,89.5,exact,West Bengal,,On Ocean,,,13.0,55.0,North_East,,,,,,,,,,,,,,,,
HIST_TC_000027,HIST_TC_000027,HISTORICAL,CYCLONE,1995,8,1995-08-01 00:00:00,month,18.2,99.6,exact,Andaman and Nicobar Islands,,On Ocean,,,21.0,265.0,West,,,,,,,,,,,,,,,,
HIST_TC_000028,HIST_TC_000028,HISTORICAL,CYCLONE,1995,9,1995-09-01 00:00:00,month,15.8,99.9,exact,Andaman and Nicobar Islands,,On Ocean,,,17.0,280.0,West,,,,,,,,,,,,,,,,
HIST_TC_000029,HIST_TC_000029,HISTORICAL,CYCLONE,1995,9,1995-09-01 00:00:00,month,21.8,87.0,exact,Odisha,Mayurbhanj,On Ocean,,,9.0,300.0,North_West,,,,,,,,,,,,,,,,
