source_event_id,event_id,source,disaster_type,year,month,date,date_precision,latitude,longitude,coord_source,state_name,district_name,duration_days,cause,fatalities,alert_level,alert_score,description,episode_id,event_name,glide,country,iso3,from_date,to_date,date_modified,source_name,severity_data
HIST_FL_000001,HIST_FL_000001,HISTORICAL,FLOOD,1990,3,1990-03-01,month,,,missing,Jammu and Kashmir,,1.0,heavy rains,5.0,,,,,,,,,,,,,
HIST_FL_000002,HIST_FL_000002,HISTORICAL,FLOOD,1990,3,1990-03-01,month,,,missing,Jammu and Kashmir,,1.0,heavy rains,32.0,,,,,,,,,,,,,
HIST_FL_000003,HIST_FL_000003,HISTORICAL,FLOOD,1990,5,1990-05-01,month,,,missing,Karnataka,,1.0,heavy rains,2.0,,,,,,,,,,,,,
HIST_FL_000004,HIST_FL_000004,HISTORICAL,FLOOD,1990,5,1990-05-01,month,,,missing,Karnataka,,1.0,heavy rains,,,,,,,,,,,,,,
HIST_FL_000005,HIST_FL_000005,HISTORICAL,FLOOD,1990,5,1990-05-01,month,,,missing,Kerala,,1.0,heavy rains,,,,,,,,,,,,,,
HIST_FL_000006,HIST_FL_000006,HISTORICAL,FLOOD,1990,5,1990-05-01,month,,,missing,Maharashtra,,1.0,heavy rains,,,,,,,,,,,,,,
HIST_FL_000007,HIST_FL_000007,HISTORICAL,FLOOD,1990,5,1990-05-01,month,,,missing,West Bengal,,2.0,heavy rains,1.0,,,,,,,,,,,,,
HIST_FL_000008,HIST_FL_000008,HISTORICAL,FLOOD,1990,6,1990-06-01,month,,,missing,Arunachal Pradesh,,7.0,severe,1.0,,,,,,,,,,,,,
HIST_FL_000009,HIST_FL_000009,HISTORICAL,FLOOD,1990,6,1990-06-01,month,,,missing,Assam,,54.0,severe,118.0,,,,,,,,,,,,,
HIST_FL_000010,HIST_FL_000010,HISTORICAL,FLOOD,1990,6,1990-06-01,month,,,missing,Karnataka,,1.0,heavy rains,,,,,,,,,,,,,,
HIST_FL_000011,HIST_FL_000011,HISTORICAL,FLOOD,1990,6,1990-06-01,month,,,missing,Maharashtra,,2.0,heavy rains,22.0,,,,,,,,,,,,,
HIST_FL_000012,HIST_FL_000012,HISTORICAL,FLOOD,1990,6,1990-06-01,month,,,missing,Maharashtra,,2.0,heavy rains,7.0,,,,,,,,,,,,,
